"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99401899999","2022-01-01T00:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","290,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0135,1","+9999,9","10073,1","3,1,003,1,+999,9","5,99,0098,1,999","+154,1","SYN080LJAC1 46/// /2916 10135 40073 53003 90000 222// 00154 333 91219 555 11016 22018="
"99401899999","2022-01-01T01:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","270,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0134,1","+9999,9","10074,1","2,1,008,1,+999,9","5,99,0082,1,999","+153,1","SYN080LJAC1 46/// /2712 10134 40074 52008 90100 222// 00153 333 91216 555 11013 22014="
"99401899999","2022-01-01T02:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","280,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0132,1","+9999,9","10081,1","3,1,013,1,+999,9","5,99,0072,1,999","+152,1","SYN080LJAC1 46/// /2811 10132 40081 53013 90200 222// 00152 333 91214 555 11012 22013="
"99401899999","2022-01-01T03:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","280,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0131,1","+9999,9","10087,1","3,1,014,1,+999,9","5,99,0067,1,999","+152,1","SYN080LJAC1 46/// /2809 10131 40087 53014 90300 222// 00152 333 91213 555 11009 22010="
"99401899999","2022-01-01T04:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","250,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0133,1","+9999,9","10094,1","2,1,020,1,+999,9","5,99,0062,1,999","+153,1","SYN080LJAC1 46/// /2511 10133 40094 52020 90400 222// 00153 333 91212 555 11011 22012="
"99401899999","2022-01-01T05:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","230,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0135,1","+9999,9","10099,1","1,1,018,1,+999,9","5,99,0067,1,999","+152,1","SYN080LJAC1 46/// /2312 10135 40099 51018 90500 222// 00152 333 91213 555 11012 22013="
"99401899999","2022-01-01T06:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","230,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0135,1","+9999,9","10109,1","3,1,022,1,+999,9","5,99,0072,1,999","+152,1","SYN080LJAC1 46/// /2311 10135 40109 53022 90600 222// 00152 333 91214 555 11012 22013="
"99401899999","2022-01-01T07:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","220,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0135,1","+9999,9","10116,1","3,1,022,1,+999,9","5,99,0051,1,999","+152,1","SYN080LJAC1 46/// /2207 10135 40116 53022 90700 222// 00152 333 91210 555 11007 22007="
"99401899999","2022-01-01T08:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","180,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0132,1","+9999,9","10115,1","1,1,016,1,+999,9","5,99,0036,1,999","+151,1","SYN080LJAC1 46/// /1806 10132 40115 51016 90800 222// 00151 333 91207 555 11006 22007="
"99401899999","2022-01-01T09:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","160,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0127,1","+9999,9","10122,1","2,1,013,1,+999,9","5,99,0036,1,999","+152,1","SYN080LJAC1 46/// /1606 10127 40122 52013 90900 222// 00152 333 91207 555 11006 22006="
"99401899999","2022-01-01T10:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","130,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0129,1","+9999,9","10129,1","3,1,013,1,+999,9","5,99,0021,1,999","+151,1","SYN080LJAC1 46/// /1304 10129 40129 53013 91000 222// 00151 333 91204 555 11004 22004="
