"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99401899999","2023-01-01T00:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","200,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0149,1","+9999,9","10151,1",,"5,99,0046,1,999","+151,1","SYN074LJAC1 46/// /2006 10149 40151 92348 222// 00151 333 91209 555 11006 22007="
"99401899999","2023-01-01T01:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","150,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0150,1","+9999,9","10147,1",,"5,99,0046,1,999","+151,1","SYN074LJAC1 46/// /1507 10150 40147 90036 222// 00151 333 91209 555 11007 22008="
"99401899999","2023-01-01T02:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","150,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0149,1","+9999,9","10143,1",,"5,99,0046,1,999","+150,1","SYN074LJAC1 46/// /1507 10149 40143 90136 222// 00150 333 91209 555 11008 22008="
"99401899999","2023-01-01T03:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","160,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0147,1","+9999,9","10128,1","8,1,023,1,+999,9","5,99,0072,1,999","+150,1","SYN080LJAC1 46/// /1610 10147 40128 58023 90300 222// 00150 333 91214 555 11010 22011="
"99401899999","2023-01-01T04:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","150,1,N,0057,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10120,1","7,1,026,1,+999,9","5,99,0077,1,999","+149,1","SYN080LJAC1 46/// /1511 1//// 40120 57026 90400 222// 00149 333 91215 555 11011 22012="
"99401899999","2023-01-01T05:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","170,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0154,1","+9999,9","10121,1","6,1,017,1,+999,9","5,99,0077,1,999","+149,1","SYN080LJAC1 46/// /1713 10154 40121 56017 90500 222// 00149 333 91215 555 11013 22015="
"99401899999","2023-01-01T06:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","170,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0148,1","+9999,9","10110,1","8,1,018,1,+999,9","5,99,0129,1,999","+149,1","SYN080LJAC1 46/// /1718 10148 40110 58018 90600 222// 00149 333 91225 555 11019 22020="
"99401899999","2023-01-01T07:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","170,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0146,1","+9999,9","10103,1","8,1,017,1,+999,9","5,99,0113,1,999","+149,1","SYN080LJAC1 46/// /1718 10146 40103 58017 90700 222// 00149 333 91222 555 11019 22020="
"99401899999","2023-01-01T08:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","180,1,N,0113,1","99999,9,9,N","999999,9,9,9","+0147,1","+9999,9","10093,1","6,1,028,1,+999,9","5,99,0149,1,999","+149,1","SYN080LJAC1 46/// /1822 10147 40093 56028 90800 222// 00149 333 91229 555 11023 22024="
"99401899999","2023-01-01T09:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","190,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0148,1","+9999,9","10087,1","6,1,023,1,+999,9","5,99,0139,1,999","+149,1","SYN080LJAC1 46/// /1918 10148 40087 56023 90900 222// 00149 333 91227 555 11018 22020="
"99401899999","2023-01-01T10:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","190,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0150,1","+9999,9","10078,1","6,1,025,1,+999,9","5,99,0134,1,999","+148,1","SYN080LJAC1 46/// /1920 10150 40078 56025 91000 222// 00148 333 91226 555 11020 22022="
"99401899999","2023-01-01T11:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","290,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0139,1","+9999,9","10078,1","6,1,015,1,+999,9","5,99,0093,1,999","+148,1","SYN080LJAC1 46/// /2915 10139 40078 56015 91100 222// 00148 333 91218 555 11016 22017="
"99401899999","2023-01-01T12:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","290,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0139,1","+9999,9","10075,1","6,1,012,1,+999,9","5,99,0113,1,999","+148,1","SYN080LJAC1 46/// /2916 10139 40075 56012 91200 222// 00148 333 91222 555 11017 22018="
"99401899999","2023-01-01T13:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","290,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0141,1","+9999,9","10080,1","5,1,000,1,+999,9","5,99,0088,1,999","+147,1","SYN080LJAC1 46/// /2914 10141 40080 55000 91300 222// 00147 333 91217 555 11014 22016="
"99401899999","2023-01-01T14:00:00","4","32.867","-117.258","2.0","LA JOLLA, CA US","FM-13","99999","V020","290,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0141,1","+9999,9","10088,1","3,1,010,1,+999,9","5,99,0103,1,999","+147,1","SYN080LJAC1 46/// /2918 10141 40088 53010 91400 222// 00147 333 91220 555 11018 22020="
